title;url;tags;created
Column: Bill Plaschke talks about his COVID-19 experience - Los Angeles Tim;https://www.latimes.com/sports/story/2020-08-12/column-bill-plaschke-covid-19-experience?utm_source=pocket-newtab;NA;1597967756
Opinion | The Democrats Who Rose to the Moment - The New York Times;https://www.nytimes.com/2020/08/20/opinion/democratic-convention-warren-biden-obama.html;NA;1598040189
Answering the Many Questions About ‘The One and Only Ivan’ - The New York T;https://www.nytimes.com/2020/08/21/movies/the-real-gorilla-from-the-one-and-only-ivan.html;NA;1598293186
Tracking Coronavirus Cases at U.S. Colleges and Universities - The New York;https://www.nytimes.com/interactive/2020/us/covid-college-cases-tracker.html;NA;1598448557
https://www.newyorker.com/humor/daily-shouts/ask-your-doctor;https://www.newyorker.com/humor/daily-shouts/ask-your-doctor;NA;1598468511
https://www.washingtonpost.com/religion/2020/08/27/pence-bible-rnc-jesus-flag/;https://www.washingtonpost.com/religion/2020/08/27/pence-bible-rnc-jesus-flag/;NA;1598824860
Opinion | America’s Coronavirus Reopening Choice: Schools, Bars or Disney W;https://www.nytimes.com/2020/08/28/opinion/coronavirus-schools-tradeoffs.html;NA;1598649550
https://www.newyorker.com/news/on-religion/how-black-lives-matter-is-changing-the-church;https://www.newyorker.com/news/on-religion/how-black-lives-matter-is-changing-the-church;NA;1598835271
https://www.newyorker.com/books/under-review/american-christianitys-white-supremacy-problem;https://www.newyorker.com/books/under-review/american-christianitys-white-supremacy-problem;NA;1599103298
New Treatment for Lou Gehrig's Disease Shows Promise - The New York Times;https://www.nytimes.com/2020/09/02/health/als-icebucket-treatment.html?action=click&module=Well&pgtype=Homepage&section=Health;NA;1599135876
Opinion | ‘Your Dad’s Not Feeling Well’ - The New York Times;https://www.nytimes.com/2020/09/04/opinion/your-dads-not-feeling-well.html?action=click&module=Opinion&pgtype=Homepage;NA;1599322897
Meet the woman who gave the world antiviral drugs;https://api-nationalgeographic-com.cdn.ampproject.org/c/s/api.nationalgeographic.com/distribution/public/amp/science/2020/08/gertrude-elion-antivirals-coronavirus-remdesivir;NA;1599324750
Opinion | How Many Lives Would a More Normal President Have Saved? - The Ne;https://www.nytimes.com/2020/09/05/opinion/sunday/covid-19-trump.html?action=click&module=Well&pgtype=Homepage&section=OpEd%20Columnists;NA;1599491323
Opinion | ‘I Keep My Promises,’ Trump Said. Let’s Check. - The New York Tim;https://www.nytimes.com/2020/09/05/opinion/sunday/trump-promises-check.html?action=click&algo=top_conversion&block=trending_recirc&fellback=false&imp_id=18323927&impression_id=01d07b43-f11c-11ea-90b9-37415ff8777d&index=7&pgtype=Article&region=footer&req_id=412885875&surface=most-popular;NA;1599491533
Constance Weldon, Pioneering Virtuoso of the Tuba, Dies at 88 - The New Yor;https://www.nytimes.com/2020/09/07/arts/music/constance-weldon-dead.html?action=click&module=Well&pgtype=Homepage&section=Obituaries;NA;1599629835
Opinion | The Coronavirus Is Mutating, and That’s Fine (So Far) - The New Y;https://www.nytimes.com/2020/09/11/opinion/coronavirus-mutation-reinfection.html?action=click&module=Opinion&pgtype=Homepage;NA;1599882137
Bill Gates Sr., Who Guided Billionaire Son’s Philanthropy, Dies at 94 - The;https://www.nytimes.com/2020/09/15/business/bill-gates-sr-dead.html?action=click&module=News&pgtype=Homepage;NA;1600226351
Opinion | The Evangelicals Who Are Taking on QAnon - The New York Times;https://www.nytimes.com/2020/09/17/opinion/evangelicals-qanon.html;NA;1600352959
Opinion | What Isn’t Trump’s Fault - The New York Times;https://www.nytimes.com/2020/09/12/opinion/sunday/trump-coronavirus.html?action=click&algo=bandit-all-surfaces&block=more_in_recirc&fellback=false&imp_id=911228235&impression_id=fc457a81-f8f1-11ea-8412-339e13cd7f2c&index=3&pgtype=Article&region=footer&req_id=123809969&surface=more-in-opinion;NA;1600353130
The Missing End of Mark's Gospel | BibleProject™;https://bibleproject.com/blog/missing-end-mark-gospel/;NA;1614128065
In Montana, the Art of Crafting Fly-Fishing Rods - The New York Times;https://www.nytimes.com/2020/09/21/travel/montana-fly-fishing-rods.html;NA;1600873127
Charting the pandemic over the next 12 months — and beyond - STAT;https://www.statnews.com/feature/coronavirus/the-road-ahead-the-next-12-months-and-beyond/;NA;1600785167
https://www.washingtonpost.com/lifestyle/wellness/pandemic-psychological-first-aid-anxiety/2020/09/21/7c68d746-fc23-11ea-9ceb-061d646d9c67_story.html;https://www.washingtonpost.com/lifestyle/wellness/pandemic-psychological-first-aid-anxiety/2020/09/21/7c68d746-fc23-11ea-9ceb-061d646d9c67_story.html;NA;1600877303
Opinion | Africa has defied the covid-19 nightmare scenarios. We shouldn’t;https://www.washingtonpost.com/opinions/2020/09/22/africa-has-defied-covid-19-nightmare-scenarios-we-shouldnt-be-surprised/;NA;1601266599
